match,similscore,ark1900,ark1910,racematch,yeardif,year,bmonth1900,given_match,surname_match,statematch,countymatch,relationshipmatch,female,father_birth_match,mother_birth_match,marital_status_match
1,1,"MSP3-87M","M57L-BS7",1,3,1864,"feb",.83333333,1,1,1,0,0,1,1,1
1,1,"MSGP-VYV","MP1T-WLJ",1,-1,1875,"jun",.57735027,.6681531,1,1,1,1,1,1,1
1,1,"MS2L-F66","M5WC-TG3",1,0,1871,"apr",.81649658,1,1,0,0,1,1,1,1
1,1,"MS2G-42F","M57Z-KFJ",1,0,1885,"apr",1,1,1,1,0,1,1,1,1
1,1,"MSJ3-GK3","M5WD-KTQ",1,-1,1870,"sep",.81649658,1,1,1,0,0,0,1,0
1,1,"MSLJ-HZ6","M53B-SZM",1,0,1864,"may",.73854895,.81649658,1,1,1,0,1,1,1
1,1,"MSL4-JYP","M5ZL-HZ5",1,1,1845,"may",.77459667,1,1,1,1,1,1,1,1
1,1,"MS21-T2C","M5WD-WHG",1,0,1875,"mar",1,1,1,0,0,0,1,1,1
1,1,"MS2B-JYF","M57Z-YV6",1,0,1867,"apr",1,1,1,1,1,1,0,1,1
1,1,"MSL4-YCF","M5ZL-699",1,9,1855,"oct",1,1,1,1,0,0,1,1,0
1,1,"MS2P-94B","M5WZ-MP8",1,-4,1870,"jan",.54772256,1,1,0,1,0,1,1,0
1,1,"MSX9-Z3S","M59K-X4F",1,0,1884,"jul",.84515425,1,1,1,0,0,1,1,1
1,1,"MSL2-PFN","M57X-SSJ",1,0,1847,"apr",.81649658,1,1,1,1,0,1,1,0
1,1,"MSKN-7MB","M599-RJ3",1,0,1851,"mar",.81649658,1,1,0,1,0,1,1,1
1,1,"MSGD-3JF","M54Q-3D6",1,-1,1869,"may",.70710678,1,1,1,0,1,0,0,1
1,1,"MS2L-LTT","M54M-PRF",1,0,1885,"jul",1,1,1,1,0,1,1,1,1
1,1,"MSGG-F42","M5ST-936",1,-1,1892,"dec",.84515425,.8,1,1,0,0,1,1,1
1,1,"MS2J-PYK","M53M-PNQ",1,-1,1882,"nov",1,1,1,0,0,0,1,1,0
1,1,"MSGC-VLH","M5ZK-S4C",1,-1,1825,"sep",.77459667,.40824829,1,1,1,1,1,1,1
1,1,"MSLL-RXN","M57X-9RN",1,-3,1867,"sep",.77459667,1,1,1,0,0,0,1,1
1,1,"MSP3-H5D","M5ZT-91N",1,6,1868,"",1,1,1,0,0,0,0,0,1
1,1,"MSGH-1SQ","M5HT-B9Y",1,1,1834,"jan",.6,1,1,1,1,0,1,1,0
1,1,"MS2G-VLK","M5ZG-1LX",1,-1,1897,"may",1,1,1,1,1,1,1,1,1
1,1,"MSGG-F4J","M5SR-RN2",1,-2,1844,"may",1,.8,1,1,0,0,1,1,0
1,1,"MSVP-GMB","M576-KG8",1,0,1843,"aug",.53452248,1,1,0,0,0,1,1,0
1,1,"MSLQ-RMC","MP1G-MCR",1,0,1856,"jan",.57735027,1,1,1,0,0,1,1,1
1,1,"MSXV-M52","M54L-96R",1,-1,1828,"mar",.8,1,1,1,1,1,1,1,1
1,1,"MS6F-KB5","M59K-ZYH",1,0,1860,"mar",1,.85714286,1,1,0,1,1,1,1
1,1,"MSLD-MQL","M54P-D6K",1,0,1838,"jan",.4,1,1,1,0,0,1,1,0
1,1,"MSX9-9V2","M57R-SV5",1,-5,1850,"aug",1,1,1,1,1,1,1,1,1
1,1,"MS21-C9N","M5ZN-LBZ",1,-1,1869,"dec",.77459667,.6,1,1,0,0,1,1,1
1,1,"MS6N-71H","M54X-M87",1,0,1885,"apr",.9258201,0,1,1,0,1,1,1,0
1,1,"MS26-XPS","M5HN-MGL",1,-1,1883,"aug",1,.91287093,1,1,0,0,1,1,1
1,1,"MSJB-FWN","M5WP-L8K",1,-1,1849,"jul",.89442719,1,1,0,1,1,1,1,1
1,1,"MS6C-3JB","M5CC-188",1,-1,1896,"dec",.77459667,.4472136,1,1,1,1,1,1,1
1,1,"MSF4-6VJ","M539-SST",1,-2,1858,"aug",.8819171,1,1,1,1,1,1,1,1
1,1,"MSLK-X8W","M57X-HFD",1,0,1849,"feb",1,1,1,1,0,0,1,1,1
1,1,"MS21-KWB","MP1K-3S4",1,-1,1853,"dec",.90453403,1,1,1,0,1,1,1,1
1,1,"MSKP-K9J","M53Q-7HN",1,-1,1878,"sep",1,.73029674,1,0,0,1,1,1,1
1,1,"MSKD-KQ3","M5WT-FGZ",1,1,1855,"may",1,1,1,0,0,0,0,0,1
1,1,"MSP4-X6G","M54W-3R3",1,0,1895,"jan",.84515425,.8660254,1,1,0,0,1,1,1
1,1,"MS2D-8W1","M5W5-NL9",1,1,1887,"jun",1,.77151675,1,0,0,0,1,1,1
1,1,"MSG9-99J","M586-9TR",1,,,"",1,1,1,0,1,0,1,0,1
1,1,"MSVJ-4JC","M58N-8BB",1,0,1899,"jan",1,.9258201,1,0,0,1,0,0,1
1,1,"MSVD-5KM","M5ZS-D3G",1,0,1849,"jan",1,.82495791,1,0,1,1,1,1,1
1,1,"MS2P-LQ5","M5H2-JC8",1,0,1880,"apr",1,1,1,1,0,1,1,1,1
1,1,"MSLD-4V1","M571-GYP",1,-2,1867,"feb",1,1,1,1,0,1,1,0,1
1,1,"MSL4-ZNB","M5Z2-5M4",1,0,1880,"jan",.81649658,1,1,1,0,1,1,1,1
1,1,"MSGM-51G","M549-JN7",1,-1,1849,"aug",.25819889,1,1,0,0,0,1,1,1
1,1,"MSLH-5NB","M5H2-JBH",1,1,1874,"feb",1,1,1,0,0,0,1,1,1
1,1,"MSX1-Y16","M5WM-GSV",1,1,1850,"oct",.66666667,.3086067,1,1,1,1,1,1,1
1,1,"MSLW-F9T","M58C-171",1,0,1887,"mar",1,1,1,0,0,1,1,1,1
1,1,"MSGY-2Z4","M5SG-4V4",1,-1,1849,"sep",.66666667,1,1,0,0,0,1,1,1
1,1,"MSLY-3QH","M5SK-X6P",1,-5,1876,"sep",.81649658,1,1,1,0,0,1,1,1
1,1,"MS2T-VJL","M5H2-Y94",1,-2,1891,"dec",.77459667,1,1,1,1,0,1,1,1
1,1,"MS2P-15P","M59C-4Z6",1,2,1864,"jan",.93541435,1,1,1,0,1,1,1,0
1,1,"MS2Y-W2D","M5H2-6FW",1,0,1848,"mar",.8819171,1,1,1,0,1,1,1,0
1,1,"MSPZ-M87","M5ST-6LC",1,0,1892,"oct",.77459667,1,1,0,0,1,1,1,1
1,1,"MS2L-ZDN","M5Z1-GYJ",1,-1,1856,"apr",1,1,1,1,0,1,0,0,1
1,1,"MSFQ-XSJ","M59T-3LZ",1,-1,1847,"jul",.91287093,.66666667,1,1,1,1,1,1,1
1,1,"MS2J-NVQ","M5WY-22Y",1,-1,1826,"aug",1,1,1,1,1,0,1,1,0
1,1,"MSP9-4W5","M5ZY-LDV",1,0,1883,"jan",1,.9258201,1,0,0,0,1,1,1
1,1,"MSKK-QD1","M5H8-PBY",1,0,1836,"sep",.70710678,1,1,0,1,1,0,0,1
1,1,"MSJ3-S1B","M5MX-12C",1,-2,1856,"dec",.15811388,.6172134,1,1,0,1,0,0,1
1,1,"MS67-M61","M5Q9-5JL",1,-1,1841,"dec",0,1,1,1,1,1,1,0,1
1,1,"MSGG-2G6","M54T-R72",1,-1,1845,"jun",.18257419,1,1,1,0,1,1,1,1
1,1,"MSGC-GQB","M5ZK-8XB",1,0,1830,"dec",1,1,1,1,1,1,1,1,1
1,1,"MSL8-7C5","M54P-LBQ",1,-1,1836,"sep",.8819171,1,1,1,0,1,0,1,0
1,1,"MSLZ-FZ9","M5ZG-3GR",1,-1,1869,"dec",1,1,1,1,0,0,1,1,1
1,1,"MSG1-DB3","M57K-7NY",1,-1,1865,"sep",.81649658,.77151675,1,1,0,1,1,1,0
1,1,"M31C-QSN","M5ZP-DXZ",1,0,1878,"jan",1,1,1,1,1,0,0,0,1
1,1,"MS2G-MHC","M54M-BFS",1,0,1831,"apr",1,1,1,1,1,0,0,0,0
1,1,"MSPC-7WL","M531-H6Y",1,-1,1867,"jun",1,1,1,1,1,1,1,1,1
1,1,"MS6C-3JT","M5CC-18C",1,-1,1849,"jun",1,1,1,1,1,1,1,1,1
1,1,"MSGS-QLH","M5S2-MP6",1,-2,1831,"feb",1,1,1,0,0,1,1,1,1
1,1,"MS65-LQF","M5QW-Q39",1,-1,1835,"jun",1,1,1,1,1,1,0,0,1
1,1,"MSGZ-8QW","M5HB-5HM",1,-1,1841,"aug",0,1,1,1,1,0,0,1,1
1,1,"MS69-3ZJ","M54D-GL5",1,-8,1857,"feb",.2236068,1,1,1,1,1,1,1,1
1,1,"MSG2-HD1","M57J-8FT",1,-1,1894,"jun",.84515425,1,1,1,0,0,1,1,1
1,1,"MSG6-9RL","M54Q-XSC",1,-1,1863,"jun",.42857143,1,1,1,0,1,1,1,1
1,1,"MSPS-ZQN","M572-BWP",1,0,1876,"jan",1,1,1,1,0,1,1,1,1
1,1,"MS2J-C4L","M5WB-QR1",1,-1,1845,"may",.71428571,1,1,1,0,1,1,1,1
1,1,"MS26-QQT","M5HF-NTN",1,4,1868,"sep",1,1,1,1,0,1,1,1,1
1,1,"MS2P-LWG","M59H-YTM",1,-1,1826,"jun",.85714286,1,1,1,1,1,1,1,1
1,1,"MSP4-QKN","M5ZT-9HC",1,-1,1858,"nov",.63245553,1,1,0,0,0,0,0,1
1,1,"MSGG-4WM","M57V-9D3",1,-1,1857,"sep",1,1,1,1,1,0,1,1,1
1,1,"MSKW-G2G","M5WY-YRD",1,-1,1872,"sep",0,.77151675,1,0,0,1,1,1,1
1,1,"MSF7-H7H","M59Y-73B",1,-1,1849,"jun",.81649658,.4472136,1,1,1,1,1,1,1
1,1,"MSGT-BNN","M54Y-CCG",1,0,1878,"sep",.6172134,1,1,1,0,0,1,0,1
1,1,"MSJK-QQY","M5Q5-3CL",1,-1,1831,"nov",1,1,1,0,1,0,1,1,1
1,1,"MSPD-SWR","M5SL-KBC",1,-2,1859,"nov",1,1,1,1,0,1,1,1,1
1,1,"MSGG-5C4","MP1R-5CJ",1,-1,1894,"dec",.8660254,0,1,1,0,0,1,1,1
1,1,"MSGJ-ZTG","M58L-55Q",1,1,1821,"jan",1,1,1,1,0,1,1,0,1
1,1,"MSKM-8BW","M59Q-CTJ",1,-2,1862,"jan",.66666667,1,1,0,0,0,1,1,1
1,1,"MSL2-M1T","M57X-CZP",1,2,1877,"aug",1,1,1,1,0,0,1,1,1
1,1,"MSLH-6S6","M57Z-NTK",1,1,1867,"mar",.84515425,1,1,0,0,1,1,1,1
1,1,"MS6T-MCL","M5MQ-1DB",1,0,1836,"aug",1,1,1,1,1,1,1,1,0
1,1,"MSK9-DFT","M5MM-K41",1,0,1879,"jul",.26726124,1,1,0,0,0,1,1,0
1,1,"MSLP-VF1","M5HP-BQC",1,0,1880,"may",1,1,1,1,0,0,1,0,1
1,1,"MS6Q-6YK","M5Q9-NFM",1,-1,1856,"sep",1,1,1,1,1,0,1,1,1
1,1,"MS2N-YMX","M5HL-QL9",1,-1,1878,"sep",.63245553,1,1,0,0,0,1,1,1
1,1,"MSG1-MYW","MP1B-VVW",1,-1,1897,"jun",.5,1,1,1,0,0,1,1,1
1,1,"MSP8-2B4","M5SL-2JT",1,0,1885,"mar",1,1,1,1,0,0,1,1,1
1,1,"MSGW-7RC","MRQC-3NG",1,-1,1843,"may",1,1,1,1,1,0,1,1,0
1,1,"MSX1-Y18","M5WM-GSK",1,2,1841,"aug",1,.3086067,1,1,0,1,1,1,1
1,1,"MSGY-8ZJ","M54B-CQD",1,-3,1880,"aug",1,1,1,1,0,0,1,1,1
1,1,"MSG3-ZT7","M5SG-DW4",1,0,1824,"feb",1,.8660254,1,1,1,1,1,1,1
1,1,"MSKK-DNY","M599-S56",1,0,1895,"feb",1,1,1,0,0,0,1,1,1
1,1,"MS6X-6FB","M5CD-4L9",1,0,1835,"mar",.625,1,1,1,1,0,1,1,0
1,1,"MS2V-8YZ","M5Z1-PS7",1,-1,1866,"feb",.7,1,1,1,0,0,1,1,1
1,1,"MSGW-DHX","MRQC-FTB",1,-1,1829,"jul",1,.78334945,1,1,0,0,1,1,1
1,1,"MSK6-6L7","M5MY-X8R",1,1,1831,"",1,1,1,0,1,1,1,1,1
1,1,"MS6H-1V5","M5CC-8L3",1,0,1840,"oct",1,.54772256,1,1,1,0,1,1,1
1,1,"MSK6-XCB","M5MB-CLP",1,0,1885,"feb",.20412415,1,1,0,0,0,0,0,1
1,1,"MS2J-NQG","M5WB-SN4",1,-1,1841,"sep",.54772256,1,1,1,0,1,1,1,0
1,1,"MSLW-43D","M587-8NG",1,-1,1894,"jun",1,.66666667,1,0,0,1,0,1,1
1,1,"MS28-M9R","X39F-QJY",1,0,1879,"sep",1,1,1,0,0,0,0,0,1
1,1,"MSGT-FWD","M57V-Y8R",1,-1,1861,"nov",.73029674,1,1,1,1,1,1,1,1
1,1,"MS21-KW1","MP1K-3SH",1,-1,1859,"jul",.47140452,1,1,1,0,1,1,1,1
1,1,"MS6T-KVV","M5MQ-MRZ",1,2,1861,"feb",.6,1,1,1,1,0,1,1,1
1,1,"MSG7-3KC","M5SP-NKV",1,-1,1846,"feb",.51639778,.25,1,1,0,1,0,0,0
1,1,"MSGX-17F","M5H1-LTK",1,0,1844,"nov",.31622777,1,1,1,0,1,1,1,1
1,1,"MSGL-6MJ","M5SR-WMS",1,-1,1865,"jun",1,1,1,1,1,0,1,1,0
1,1,"MSG1-6PN","M57K-LBN",1,-1,1837,"oct",.73029674,1,1,1,1,1,1,1,1
1,1,"MS2G-GBC","M594-JX5",1,-3,1882,"apr",1,1,1,1,1,1,1,1,1
1,1,"MSKS-8ND","M59Q-T9B",1,0,1849,"jan",1,.6,1,0,1,1,0,0,1
1,1,"MS67-3B8","M5Q9-PMR",1,0,1838,"mar",.81649658,.4472136,1,1,1,1,1,1,1
1,1,"MS2G-VFS","M594-CJB",1,-1,1868,"jul",.81649658,1,1,1,0,1,1,1,1
1,1,"MSGT-MVW","MP1R-5CK",1,-1,1884,"aug",1,.35856858,1,1,0,0,1,1,1
1,1,"MSP3-CDL","M57G-CYP",1,1,1882,"dec",.84515425,1,1,1,1,0,0,1,1
1,1,"MSG1-MN1","M57K-WWC",1,0,1843,"oct",1,.5,1,1,1,0,1,1,0
1,1,"MSL9-J9W","MP12-2GH",1,-1,1865,"sep",1,1,1,1,0,1,1,1,1
1,1,"MSGB-ZHB","M57V-P1S",1,0,1857,"mar",.81649658,.5,1,1,0,1,1,1,1
1,1,"MS6K-47K","M5QS-KVC",1,-1,1862,"nov",1,1,1,1,0,0,1,1,1
1,1,"MS6Z-7TL","M5CZ-N2Q",1,-1,1857,"jul",1,1,1,1,1,0,1,1,1
1,1,"MS22-B8D","M54M-32Z",1,-2,1895,"oct",.70710678,.67082039,1,1,0,0,1,1,1
1,1,"MSGN-36R","M5H1-Y3C",1,0,1890,"feb",1,1,1,1,0,1,1,1,1
1,1,"MSL9-G43","MP12-PKX",1,-1,1890,"jul",.81649658,1,1,1,0,0,1,0,1
1,1,"MS27-P57","M53B-QLN",1,-1,1851,"jun",1,1,1,0,0,1,1,1,1
1,1,"MSG6-287","M54Q-GLC",1,-2,1863,"oct",.28867513,1,1,1,0,0,1,1,1
1,1,"MSGH-8MP","M5HT-YJ5",1,1,1845,"oct",.33333333,1,1,1,1,1,0,0,1
1,1,"MSKD-HFF","M599-DF4",1,1,1886,"apr",.93541435,1,1,0,0,0,0,0,1
1,1,"MSPQ-27Z","M5CM-LZB",1,-1,1869,"nov",1,1,1,1,1,1,1,1,1
1,1,"MSF7-BMZ","M59T-XLJ",1,0,1850,"jan",0,1,1,1,1,1,1,1,0
1,1,"MSK2-2X8","M5S6-CPG",1,-1,1886,"aug",1,1,1,0,0,0,1,1,0
